Product ID,Average Price,Price,Price Table,Status,Card Type,Related Image,Related Image Alt,Related Image Caption,Body,Related File,Type,Created date,Updated date,design form,Product Type,SKU,Price Table Amount,Price Table Quantity,Title,Packaging
5,1,$144.00,"
 <tr><th>Quantity</th><th>1 - 19</th><th>20 - 39</th><th>40 - 74</th><th>75 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$144.00</td><td>$132.00</td><td>$126.00</td><td>$120.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/americas-variety-candy-bar-fundraiser-product.png,$1 America's Variety Candy Bar Fundraising Product vwc-62758,$1 America's Variety Candy Bar Fundraising Product,"<p class=""add_clc"">The original $1 bars, <i>America’s Variety</i> offers 5 premium quality peanut-free flavors. Includes Creamy Caramel, Milk Chocolate Almond, Crispy Rice, Milk Chocolate, and Dark Chocolate Almond.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr>
<td>1-19</td>
<td>$144</td>
<td>40%</td>
<td>$96</td>
</tr>
<tr>
<td>20-39</td>
<td>$132</td>
<td>45%</td>
<td>$108</td>
</tr>
<tr>
<td>40-74</td>
<td>$126</td>
<td>48%</td>
<td>$114</td>
</tr>
<tr>
<td>75+</td>
<td>$120</td>
<td>50%</td>
<td>$120</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 240 items per case (4 inner carriers of 60). <a title=""Carrier contents"" rel=""lightframe"" href=""/americas-variety-candy-bar-flavors"">Carrier contents</a><br /><strong>Item Size:</strong> 1.5 oz.<br /><strong>Selling Price:</strong> $1.00<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery: </strong>3-7 business days. <a rel=""lightframe"" href=""/candy-bar-shipping"">Free Shipping</a></p>
",,product,1320336967,1624661637,,118,vwc-62758,14400,,$1 America's Variety Bars,240
6,,$124.00,"
 <tr><th>Quantity</th><th>1 - 9</th><th>10 - 24</th><th>25 - 49</th><th>50 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$124.00</td><td>$115.00</td><td>$109.00</td><td>$104.00</td> </tr>


",0,,https://bigfundraisingideas.com/sites/default/files/united-we-stand-candy-bar-fundraiser_0.png,United We Stand Candy Bar Fundraiser vwc-45200,United We Stand Candy Bar Fundraiser,"<p>United We Stand candy bars are peanut-free and include our 3 most popular flavors: Creamy Caramel, Milk Chocolate Almond and Crispy Rice.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr>
<td>1-9</td>
<td>$124</td>
<td>40%</td>
<td>$88</td>
</tr>
<tr>
<td>10-24</td>
<td>$115</td>
<td>45%</td>
<td>$93</td>
</tr>
<tr>
<td>25-49</td>
<td>$109</td>
<td>48%</td>
<td>$99</td>
</tr>
<tr>
<td>50+</td>
<td>$104</td>
<td>50%</td>
<td>$104</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 208 units per case (4 inner carriers of 52). <a title=""Carrier contents"" rel=""lightframe"" href=""/united-we-stand-candy-bar-flavors"">Carrier contents</a><br /><strong>Unit Size:</strong> 1.5 oz.<br /><strong>Average Price:</strong> $1.00<br /><strong>Delivery: </strong>3-7 business days. <a rel=""lightframe"" href=""/candy-bar-shipping"">Free Shipping</a></p>
",,product,1320337660,1566835231,,118,vwc-45200,12400,,United We Stand Candy Bars,
7,2,$120.00,"
 <tr><th>Quantity</th><th>1 - 19</th><th>20 - 39</th><th>40 - 74</th><th>75 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$120.00</td><td>$115.00</td><td>$108.00</td><td>$100.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/chocolatiers-candy-bar-fundraiser_1.png,$2 Chocolatiers Candy Bar Fundraising Product vwc-92862,$2 Chocolatiers Candy Bar Fundraising Product,"<p>Earn up to 58% profit with our jumbo-sized <i>$2 Chocolatiers</i> candy bars. Manufactured in a peanut-free environment, flavors include Creamy Caramel, Milk Chocolate Almond, Dark Chocolate Almond, and Crispy Rice.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr>
<td>1-19</td>
<td>$120</td>
<td>50%</td>
<td>$120</td>
</tr>
<tr>
<td>20-39</td>
<td>$115</td>
<td>52%</td>
<td>$125</td>
</tr>
<tr>
<td>40-74</td>
<td>$108</td>
<td>55%</td>
<td>$132</td>
</tr>
<tr>
<td>75+</td>
<td>$100</td>
<td>58%</td>
<td>$140</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 120 items per case (4 inner carriers of 30). <a title=""Carrier contents"" rel=""lightframe"" href=""/2-chocolatiers-candy-bar-flavors"">Carrier contents</a><br /><strong>Item Size:</strong> 2.25 oz.<br /><strong>Selling Price:</strong> $2.00<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery: </strong>3-7 business days. <a rel=""lightframe"" href=""/candy-bar-shipping"">Free Shipping</a></p>
",,product,1320337813,1624661687,,118,vwc-92862,12000,,$2 Chocolatiers Candy Bars,120
12,1,$156.00,"
 <tr><th>Quantity</th><th>1 - 19</th><th>20 - 39</th><th>40 - 74</th><th>75 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$156.00</td><td>$144.00</td><td>$132.00</td><td>$120.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/super-variety-pack-pretzel-rod-fundraising.png,$1 Variety Pack Pretzel Rods Fundraising Product vwc-71492,$1 Variety Pack Pretzel Rods Fundraising Product,"<p><i>Variety Pack</i> pretzel rods are salty pretzel rods dipped in milk chocolate, topped with chocolate chunks, crunchy toffee, rainbow sprinkles, and peanut butter candy crunch. All pretzel rods are individually wrapped.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr>
<td>1-19</td>
<td>$156</td>
<td>35%</td>
<td>$84</td>
</tr>
<tr>
<td>20-39</td>
<td>$144</td>
<td>40%</td>
<td>$96</td>
</tr>
<tr>
<td>40-74</td>
<td>$132</td>
<td>45%</td>
<td>$108</td>
</tr>
<tr>
<td>75+</td>
<td>$120</td>
<td>50%</td>
<td>$120</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 240 items per case (4 inner carriers of 60). <a title=""Carrier contents"" rel=""lightframe"" href=""/variety-pack-pretzel-rod-flavors"">Carrier contents</a><br /><strong>Item Size:</strong> 8” (0.85 oz.)<br /><strong>Selling Price:</strong> $1.00<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/pretzel-rod-shipping"">Free shipping</a></p>
<h2>Special Promotion</h2>
<p><a title=""Boost your profit by 10%"" rel=""lightframe"" href=""/chocolatiers-pretzel-rods-promotion"">Boost your profit by 10%</a></p>
",,product,1320359652,1619042150,,172,vwc-71492,15600,,$1 Variety Pack Pretzel Rods,240
13,0.75,$240.00,"
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$240.00</td><td>$216.00</td><td>$192.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/yummy-lix-lollipop-fundraiser_0.png,Yummy Lix Lollipop Fundraising Product cc-02236,Yummy Lix Lollipop Fundraising Product,"<p>Our # 1 selling lollipop, <i>Yummy Lix</i> offers 30 delicious flavors including Banana Split, Blue Raspberry, Bubble Gum, and much more. Yummy Lix lollipops are gluten and nut free.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr align=""left"">
<td>1-4</td>
<td>$240</td>
<td>50%</td>
<td>$240</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$216</td>
<td>55%</td>
<td>$264</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$192</td>
<td>60%</td>
<td>$288</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 items per case (16 inner bags of 40). <a title=""Flavors"" href=""/yummy-lix-lollipop-flavors"" rel=""lightframe"">Flavors</a><br /><strong>Item Size: </strong>1.0 oz.<br /><strong>Selling Price:</strong> 75¢<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" href=""/lollipop-shipping"" rel=""lightframe"">Free shipping</a></p>
",,product,1320411282,1625504621,,117,cc-02236,24000,,Yummy Lix Lollipops,640
14,0.75,$240.00,"
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$240.00</td><td>$216.00</td><td>$192.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/color-xploder-lollipop-fundraiser_0.png,Color Xploder Lollipop Fundraising Product cc-02237,Color Xploder Lollipop Fundraising Product,"<p>Designed to look like the surface of Jupiter, <i>Color Xploder</i> lollipops are out of this world. Available in a variety of wonderful yet mysterious fruity flavors, they contain no gluten, nut, shellfish, egg, or milk.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr align=""left"">
<td>1-4</td>
<td>$240</td>
<td>50%</td>
<td>$240</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$216</td>
<td>55%</td>
<td>$264</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$192</td>
<td>60%</td>
<td>$288</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 items per case (16 inner bags of 40).<br /><strong>Item Size: </strong>1.0 oz.<br /><strong>Selling Price:</strong> 75¢<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" href=""/lollipop-shipping"" rel=""lightframe"">Free shipping</a></p>
",,product,1320411473,1625504876,,117,cc-02237,24000,,Color Xploder Lollipops,640
15,0.75,$240.00,"
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$240.00</td><td>$216.00</td><td>$192.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/yummy-hearts-lollipop-fundraiser_1.png,Yummy Hearts Lollipop Fundraising Product cc-022389,Yummy Hearts Lollipop Fundraising Product,"<p><i>Yummy Hearts</i> Lollipops are our #1 selling Valentine’s Day lollipop. A can’t-miss hit with that significant other. Available in 9 yummy flavors like Bubble Gum, Cherry Cheesecake, and Wild Cherry.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr align=""left"">
<td>1-4</td>
<td>$240</td>
<td>50%</td>
<td>$240</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$216</td>
<td>55%</td>
<td>$264</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$192</td>
<td>60%</td>
<td>$288</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 items per case (16 inner bags of 40). <a title=""Flavors"" href=""/yummy-hearts-lollipop-flavors"" rel=""lightframe"">Flavors</a><br /><strong>Item Size: </strong>1.0 oz.<br /><strong>Selling Price:</strong> 75¢<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" href=""/lollipop-shipping"" rel=""lightframe"">Free shipping</a></p>
",,product,1320411705,1625505627,,117,cc-022389,24000,,Yummy Hearts Lollipops,640
16,0.75,$240.00,"
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$240.00</td><td>$216.00</td><td>$192.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/sweet-yummy-lips-lollipop-fundraiser_0.png,Sweet Yummy Lips Lollipop Fundraising Product cc-022396,Sweet Yummy Lips Lollipop Fundraising Product,"<p><i>Sweet Yummy Lips</i> lollipops will surely make your Valentine’s Day fundraiser a big success. Also great for special occasions like school dances. Come in 9 sweet flavors like Bubble Gum, Cinnamon, and Grape.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr align=""left"">
<td>1-4</td>
<td>$240</td>
<td>50%</td>
<td>$240</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$216</td>
<td>55%</td>
<td>$264</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$192</td>
<td>60%</td>
<td>$288</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 items per case (16 inner bags of 40). <a title=""Flavors"" href=""/sweet-yummy-lips-lollipop-flavors"" rel=""lightframe"">Flavors</a><br /><strong>Item Size: </strong>1.0 oz.<br /><strong>Selling Price:</strong> 75¢<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" href=""/lollipop-shipping"" rel=""lightframe"">Free shipping</a></p>
",,product,1320411888,1625505976,,117,cc-022396,24000,,Sweet Yummy Lips Lollipops,640
17,0.75,$240.00,"
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$240.00</td><td>$216.00</td><td>$192.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/sour-yummy-lips-lollipop-fundraiser_1.png,Sour Yummy Lips Lollipop Fundraising Product cc-022402,Sour Yummy Lips Lollipop Fundraising Product,"<p>A fun shape that resembles a kiss, <i>Sour Yummy Lips</i> lollipops are fun shape that resembles a kiss with an extra sour kick. Available in 6 tasty flavors, they’re great for Valentine’s Day or any other special occasion.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr align=""left"">
<td>1-4</td>
<td>$240</td>
<td>50%</td>
<td>$240</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$216</td>
<td>55%</td>
<td>$264</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$192</td>
<td>60%</td>
<td>$288</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 items per case (16 inner bags of 40). <a title=""Flavors"" href=""/sour-yummy-lips-lollipop-flavors"" rel=""lightframe"">Flavors</a><br /><strong>Item Size: </strong>1.0 oz.<br /><strong>Selling Price:</strong> 75¢<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 3-7 business days <a title=""Free shipping"" href=""/lollipop-shipping"" rel=""lightframe"">Free shipping</a></p>
",,product,1320413081,1625505227,,117,cc-022402,24000,,Sour Yummy Lips Lollipops,640
18,0.75,$240.00,"
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$240.00</td><td>$216.00</td><td>$192.00</td> </tr>


",1,,https://bigfundraisingideas.com/sites/default/files/sour-mania-lollipop-fundraiser_0.png,Sour Mania Lollipop Fundraising Product cc-022426,Sour Mania Lollipop Fundraising Product,"<p><i>Sour Mania</i> lollipops are so sour they’ll make your lips pucker. Not recommended for the faint of heart. Flavors include Cherry, Watermelon, Lemonade, Green Apple, Blue Raspberry, Orange.</p>
<p>Nutrition facts available upon request.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr align=""left"">
<td>1-4</td>
<td>$240</td>
<td>50%</td>
<td>$240</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$216</td>
<td>55%</td>
<td>$264</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$192</td>
<td>60%</td>
<td>$288</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 items per case (16 inner bags of 40). <a title=""Flavors"" href=""/sour-mania-lollipop-flavors"" rel=""lightframe"">Flavors</a><br /><strong>Item Size: </strong>1.0 oz.<br /><strong>Selling Price:</strong> 75¢<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" href=""/lollipop-shipping"" rel=""lightframe"">Free shipping</a></p>
",,product,1320413219,1625505066,,117,cc-022426,24000,,Sour Mania Lollipops,640
