"Product ID","Max Quanity","Min Quantity","Profit"
"5","19","1","40"
"5","39","20","45"
"5","74","40","48"
"5","","75","50"
"6","","",""
"7","19","1","50"
"7","39","20","52"
"7","74","40","55"
"7","","75","58"
"12","19","1","35"
"12","39","20","40"
"12","74","40","45"
"12","","75","50"
"13","4","1","50"
"13","9","5","55"
"13","","10","60"
"14","4","1","50"
"14","9","5","55"
"14","","10","60"
"15","4","1","50"
"15","9","5","55"
"15","","10","60"
"16","4","1","50"
"16","9","5","55"
"16","","10","60"
"17","4","1","50"
"17","9","5","55"
"17","","10","60"
"18","4","1","50"
"18","9","5","55"
"18","","10","60"
"19","4","1","50"
"19","9","5","55"
"19","","10","60"
"20","","",""
"21","4","1","50"
"21","9","5","55"
"21","","10","60"
"22","4","1","50"
"22","9","5","55"
"22","","10","60"
"23","4","1","50"
"23","9","5","55"
"23","","10","60"
"24","","",""
"25","","",""
"26","4","1","50"
"26","9","5","55"
"26","","10","60"
"27","4","1","50"
"27","9","5","55"
"27","","10","60"
"28","","",""
"29","","",""
"30","","",""
"31","9","1","40"
"31","24","10","45"
"31","","25","50"
"32","9","1","40"
"32","24","10","45"
"32","","25","50"
"33","9","1","40"
"33","24","10","45"
"33","","25","50"
"34","9","1","40"
"34","24","10","45"
"34","","25","50"
"35","","",""
"36","9","1","40"
"36","24","10","45"
"36","","25","50"
"37","","",""
"38","","",""
"39","","",""
"40","9","1","30"
"40","24","10","35"
"40","","25","40"
"41","4","1","35"
"41","9","5","40"
"41","","10","45"
"42","4","1","35"
"42","9","5","40"
"42","","10","45"
"45","","",""
"46","499","250","40"
"46","999","500","50"
"46","1999","1000","55"
"46","2999","2000","60"
"46","","3000","65"
"49","24","10","80"
"49","99","25","85"
"49","","100","90"
"50","","",""
"51","","",""
"52","","",""
"53","","",""
"62","","",""
"67","9","4","40"
"67","24","10","45"
"67","","25","50"
"68","","",""
"69","","",""
"70","","",""
"71","","",""
"73","","",""
"75","","",""
"76","9","4","40"
"76","24","10","45"
"76","","25","50"
"77","25","1","41"
"77","","26","45"
"78","","",""
"79","50","1","40"
"79","","51","45"
"80","","",""
"81","50","1","40"
"81","","51","45"
"82","","",""
"83","","",""
"84","","",""
"135","","",""
"136","","",""
"137","9","1","30"
"137","24","10","35"
"137","","25","40"
"138","25","1","45"
"138","","26","50"
"139","25","1","45"
"139","","26","50"
"140","25","1","41"
"140","","26","45"
"141","9","1","30"
"141","24","10","35"
"141","","25","40"
"142","","",""
"143","","",""
"144","","",""
"145","","",""
"146","","",""
"147","","",""
"150","19","1","40"
"150","39","20","45"
"150","74","40","48"
"150","","75","50"
"151","","",""
"152","14","1","40"
"152","29","15","45"
"152","54","30","48"
"152","","55","50"
"153","14","1","40"
"153","29","15","45"
"153","54","30","50"
"153","","55","55"
"154","9","1","40"
"154","24","10","45"
"154","49","25","50"
"154","","50","55"
"155","","",""
"156","19","1","50"
"156","39","20","52"
"156","74","40","55"
"156","","75","58"
"157","25","1","45"
"157","","26","50"
"158","","",""
"159","25","1","40"
"159","","26","45"
"160","25","1","40"
"160","","26","45"
"161","25","1","40"
"161","","26","45"
"162","25","1","40"
"162","","26","45"
"163","9","2","40"
"163","24","10","45"
"163","","25","50"
"164","9","2","40"
"164","24","10","45"
"164","","25","50"
"165","","",""
"166","9","1","40"
"166","24","10","45"
"166","","25","50"
"167","","",""
"168","9","1","35"
"168","24","10","40"
"168","","25","45"
"169","9","1","35"
"169","24","10","40"
"169","","25","45"
"170","9","1","30"
"170","24","10","35"
"170","","25","40"
"171","9","1","35"
"171","24","10","40"
"171","","25","45"
"172","4","1","45"
"172","9","5","50"
"172","","10","55"
"173","4","1","45"
"173","9","5","50"
"173","","10","55"
"174","11","2","40"
"174","23","12","45"
"174","47","24","48"
"174","","48","50"
"175","4","1","25"
"175","9","5","30"
"175","24","10","35"
"175","","25","40"
"176","9","2","40"
"176","24","10","45"
"176","","25","50"
"177","9","1","50"
"177","24","10","55"
"177","","25","60"
"178","9","1","40"
"178","24","10","45"
"178","","25","50"
"179","9","1","50"
"179","24","10","55"
"179","","25","60"
"180","9","1","50"
"180","24","10","55"
"180","","25","60"
"181","9","1","50"
"181","24","10","55"
"181","","25","60"
"182","24","1","40"
"182","","25","45"
"183","24","1","40"
"183","","25","45"
"184","24","1","40"
"184","","25","45"
"185","24","1","40"
"185","","25","45"
"186","24","1","40"
"186","","25","45"
"187","24","1","40"
"187","","25","45"
"188","24","1","40"
"188","","25","45"
"189","24","1","40"
"189","","25","45"
"190","25","1","40"
"190","","26","45"
"191","9","1","40"
"191","24","10","45"
"191","","25","50"
"192","19","1","35"
"192","39","20","40"
"192","74","40","45"
"192","","75","50"
"193","9","1","35"
"193","24","10","40"
"193","","25","45"
"194","9","1","30"
"194","24","10","35"
"194","","25","40"
"195","9","1","30"
"195","24","10","35"
"195","","25","40"
"196","9","1","30"
"196","24","10","35"
"196","","25","40"
"197","9","1","30"
"197","24","10","35"
"197","","25","40"
"199","19","2","40"
"199","49","20","45"
"199","","50","50"
"200","19","2","40"
"200","49","20","45"
"200","","50","50"
"201","19","2","40"
"201","49","20","45"
"201","","50","50"
"202","19","2","40"
"202","49","20","45"
"202","","50","50"
"203","19","2","40"
"203","49","20","45"
"203","","50","50"
"204","19","3","40"
"204","49","20","45"
"204","","50","50"
"205","19","5","35"
"205","","20","40"
"206","19","5","35"
"206","","20","40"
"207","19","5","35"
"207","","20","40"
"208","9","5","35"
"208","","20","40"
"209","19","5","35"
"209","","20","40"
"210","19","5","35"
"210","","20","40"
"211","19","5","35"
"211","","20","40"
"212","19","5","35"
"212","","20","40"
"213","19","5","35"
"213","","20","40"
"214","19","5","35"
"214","","20","40"
"148","9","2","40"
"148","24","10","45"
"148","","25","50"
