Nid,Published status,Updated date,Accordion Section,Accordion Section summary
3579,1,1642276477,"<h2>Questions about Hello Spring?</h2>
<h3>How it Works</h3>
<div class=""accordion1"">
<h3>How do we raise money?</h3>
<div>
<p>Your group raises money when your participants take orders from the brochure.</p></div>
<h3>Do participants get a brochure to show?</h3>
<div>
<p>Each participant receives a brochure, order form, and zip-lock bag for money collection.</p></div>
<h3>Is money collected up front?</h3>
<div>
<p>Yes. Buyers can pay by check, cash, money order, or cashier’s check.</p></div>
<h3>Are there any fees?</h3>
<div>
<p>There are no setup fees or supply costs to start a <i>Hello Spring</i> brochure fundraiser.</p></div>
<h3>Can participants earn prizes?</h3>
<div>
<p>Yes. Prize programs are optional but recommended. Incentivizing your participants can improve sales. It’s important to discuss your prize program at your kickoff meeting. Then, continue to promote your incentives throughout your sale. This will keep your group motivated.</p>
<p>If your group has 100 or more participants, a prize flyer is placed in each seller’s packet. For smaller groups, the sponsor receives a PDF with their ‘fundraiser supply kit’ email.</p>
<p>There is no cost to the group for our incentive plans.</p>
<p><a title=""Opens in new window"" href=""/fundraiser-prize-programs"" target=""_blank"">Learn about our prize programs</a></p></div>
<h3>How soon can we start?</h3>
<div>
<p>After you submit our <a title=""Opens in new window"" href=""/contact/start-fundraiser"" target=""_blank"">start a fundraiser</a> form you’ll receive an agreement to sign. It will then take at least 7-10 business days to process your order and pack and ship out your supplies.</p>
<p><a title=""Opens in new window"" href=""/resources/school-fundraising-supply-timeline"" target=""_blank"">Learn about our timeline</a></p></div>
<h3>How long is the fundraiser?</h3>
<div>
<p>By default, we’ll set your end date 2 weeks after your start date. You can always change your end date. Simply let us know before your sale ends.</p></div>
</div>",
3579,1,1642276477,"<h3>Online Store</h3>
<div class=""accordion1"">
<h3>Can we also raise money online?</h3>
<div>
<p>Yes, an online store is automatically included. Prior to your <i>Hello Spring</i> kickoff you’ll receive instructions so your participants can register. Once registered they’ll be able to invite friends and family to shop at your store.</p>
<p>Raising money online adds a 2<sup>nd</sup> revenue source to your fundraiser.</p>
<p>Your online store will include additional items not found in the brochure.</p></div>
<h3>Do participants need to register?</h3>
<div>
<p>Registration is the most effective way to raise money online. It's also a great way to get your participants engaged in your cause. As participants register, they’ll be able to share their unique link using text, social media, and/ or email.</p>
<p>The link takes people to your store where the participant’s name appears at the top of the page. This helps make it identifiable to friends and family. For example, “Purchases from this page will be credited to John Doe in support of ABC High School Band.”</p>
<p>Registered sellers will also be eligible to earn credit towards prizes. We encourage groups to supplement our prize program with their own <a title=""Opens in new window"" href=""/resources/additional-fundraising-incentive-ideas"" target=""_blank"">additional incentives</a>.</p></div>
<h3>Do we get our own link?</h3>
<div>
<p>There are 2 ways to promote your store:
</p><ol>
<li><strong>Registration:</strong> By default, your group will receive a unique program ID number. Participants will need it to register and share their store link with others using social media, text, and email.</li>
<li><strong>Direct Link:</strong> Or, you as the sponsor can register and obtain your unique link first. Then share that link with your entire group. Participants would be able to share your link with their friends and family.</li>
</ol>
<p>By promoting a direct link, you will only be able to track online sales as a group, not by individual sellers. As a result, participants would not receive prize credit for selling online.</p>
<p><strong>Online Ship to Group Orders</strong></p>
<p>Another limitation with a single store link is getting items to online customers who choose the ‘ship to group’ option. Normally when participants register and send out their own unique links and customers make a purchase, orders are automatically tied to a particular seller.</p>
<p>Any items then ship to the group already packed inside the seller’s box with their other brochure items. Participants then deliver these items to their customers.</p>
<p>But with the single link option, you will need to let any ‘ship to group’ buyers know to pick up their order because it won’t be associated with any seller.</p></div>
<h3>Can we accept donations?</h3>
<div>
<p>Yes, your store will be set up to accept donations. You make 70% of the donated amount.</p>
<p>Donations do not count towards items sold or prize credit.</p></div>
<h3>Can buyers credit more than 1 participant?</h3>
<div>
<p>No. Participants need to register individually. Each participant has their own login and sharing options.</p></div>
</div>",
3579,1,1642276477,"<h3>Making Sales</h3>
<div class=""accordion1"">
<h3>Is there a minimum order?</h3>
<div>
<p>There are no order requirements for a <i>Hello Spring</i> fundraiser.</p></div>
<h3>How much money can we make?</h3>
<div>
<p>You’ll need to know your group size as well your participant goal. Here’s how you can estimate your profit:</p>
<h2>Calculation Steps</h2>
<ol>
<li>Participant Count x Participant Item Goal = Items Sold</li>
<li>Items Sold x Average Retail Price = Gross Sales</li>
<li>Gross Sales x Profit % = Group Profit</li>
</ol>
<h2>Example</h2>
<ol>
<li>Let’s say you have 60 participants and you set your participant item goal at 10. The items sold would be 60 participants x 10 Items / participants = 600.</li>
<li>Next, determine your gross sales. The average retail price is about $13 so your gross sales would be 600 Items x $13 = $7,800.</li>
<li>Since your profit is 40%, your group profit would be $8,400 x 40% = <strong>$3,360</strong>.</li>
</ol>
<p>Keep in mind that our example is only an estimated profit. In reality, participants probably won’t sell the same number of items. In addition, the average retail dollars sold per seller will vary.</p></div>
<h3>Can we track our sales?</h3>
<div>
<p>You may not know your exact <i>Hello Spring</i> brochure sales until the end. Yet there are strategies that can give you a ballpark idea. Learn how to <a title=""Opens in new window"" href=""/resources/how-track-your-fundraising-progress"" target=""_blank"">track your fundraising progress</a></p>
<p>But you'll be able to track online sales in real-time. By logging into your dashboard you'll see participants who’ve sent emails to friends and family as well as up-to-date sales activity.</p></div>
<h3>How do we receive our money?</h3>
<div>
<p><strong>Brochure Sales:</strong> Money and order forms are turned in at the end of the sale. The money gets deposited in your account and the order forms are sent in for processing.</p>
<p>Once the order has been processed, the group receives their sales reports and invoice. The group sends a check for the invoice amount and keeps the rest as profit.</p>
<p><strong>Online Sales:</strong> Once your brochure invoice has been paid in full, a check for any online sales is sent to your group.</p>
<p><strong>Donations:</strong> Any profits from donations are included with the online sales check.</p></div>
<h3>What is our profit?</h3>
<div>
<p>Groups make 40% off all <i>Hello Spring</i> brochure and online sales.</p>
<p>You receive 70% of online donations.</p>
<p><i>(Use the ‘Calculate Your Profit’ calculator at the top of the page to determine your profit)</i></p></div>
<h3>What about sales tax?</h3>
<div>
<p>Certain states require that we collect and remit sales tax on your behalf to your state’s department of revenue. We will need to charge sales tax if your state has determined that we have established <a title=""opens in new window"" href=""https://www.avalara.com/us/en/learn/nexus.html"" target=""_blank"" rel=""noopener"">nexus</a> and you are not tax exempt. See our <a title=""opens in new window"" href=""/resources/ultimate-school-brochure-fundraising-tax-guide"" target=""_blank"" rel=""noopener"">brochure fundraising tax guide</a> for more information.</p></div>
</div>",
3579,1,1642276477,"<h3>Shipping</h3>
<div class=""accordion1"">
<h3>How soon do we receive our order?</h3>
<div>
<p>We deliver brochure orders to your group 3-4 weeks after receiving your order forms. Online orders generally ship to customers within 2 business days after purchase.</p>
</div>
<h3>Where do orders ship to?</h3>
<div>
<p>Product ships out of our Texas warehouse to all lower 48 states.</p>
</div>
<h3>How is our order packed?</h3>
<div>
<p>Orders arrive prepacked by seller.</p>
</div>
<h3>Is there a shipping fee?</h3>
<div>
<h5>Brochure Sales:</h5>

<p>Shipping is free if certain order minimums are met:
</p><p><strong>Groups up to 100 participants</strong></p>
<p>If you sell 150 or more items there is no shipping charge. A $100 shipping and handling fee will be charged for orders with fewer than 150 items sold.</p>
<p><strong>Groups with over 100 participants</strong>
</p><p>Shipping is free as long as your group averages $20 or more in retail sales per member. (Since the average price of an item listed in a typical brochure is about $14, that is less than 2 items sold per seller)<br />
</p><table border=""0"">
<thead>
<tr align=""left"">
<td>Ave. Retail Sales / Enrolled</td>
<td>Shipping Fee</td>
</tr>
</thead>
<tbody>
<tr>
<td>$0-$9.99</td>
<td>$1 / Enrolled</td>
</tr>
<tr>
<td>$10-$14.99</td>
<td>75¢ / Enrolled</td>
</tr>
<tr>
<td>$15-$19.99</td>
<td>50¢ / Enrolled</td>
</tr>
<tr>
<td>$20+</td>
<td>No Charge</td>
</tr>
</tbody>
</table>

<p>A quick way to determine your average retail sales per enrolled is to divide your total sales by your group enrollment. Consider the following 2 examples.</p>
<p>If your group raises:
</p><ol>
<li>$2,500 with 150 members, your average retail sales per enrolled would be $16.67. In this case you would be charged 50¢ x 150 = $75 (See chart above).</li>
<li>$3,500 with 150 members, your average retail sales per enrolled would be $23.33. In this case you would not be charged a shipping fee because you reached $20 per enrolled group member.</li>
</ol>
<blockquote><p>Both brochure and online sales count towards the free shipping minimum requirement</p></blockquote>
<p>
</p><h5>Online Sales:</h5>

<p>Customers pay a shipping fee at checkout to have their order shipped direct to them. Shipping is free on orders over $75.</p>
<p>Buyers also have the option to ship their order to the group. In this case there is no shipping fee.</p>
</div>
<h3>Do you ship orders to sellers?</h3>
<div>
<p>Yes this is an option. Instead of shipping <i>Hello Spring</i> brochure orders to your group, we’ll ship them to each participant. Sellers would then need to distribute items to their customers.</p>
<p>Home delivery fundraisers go by the following profit margins:</p>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Retail Sales</td>
<td>Group Profit</td>
</tr>
</thead>
<tbody>
<tr>
<td>$1,000 to $14,999</td>
<td>30%</td>
</tr>
<tr>
<td>$15,000</td>
<td>32%</td>
</tr>
</tbody>
</table>

<p> Orders under $1,000 in gross sales will be shipped to the group.</p></div>
<h3>How are product issued handled?</h3>
<div>
<p>If you have any items that need replacing, you’ll need to submit a form that we’ll attach to your delivery notice email. Sellers will have 7 days to report any missing or damaged items. Groups are allowed 1 submission per fundraiser.</p></div>
</div>",
3166,1,1643481480,"<h2>Questions about Inspired Innovations?</h2>
<h3>How it Works</h3>
<div class=""accordion1"">
<h3>How do we raise money?</h3>
<div>
<p>Your group profits when participants take orders from your brochure.</p></div>
<h3>Do participants get a brochure to show?</h3>
<div>
<p>Yes. Every participant receives a brochure flyer and order form.</p></div>
<h3>Is money collected up front?</h3>
<div>
<p>Yes. Supporters can pay by check, cash, money order, or cashier’s check.</p></div>
<h3>Are there any fees?</h3>
<div>
<p>There are no setup fees or supply costs to start an <i>Inspired Innovations</i> brochure sale.</p></div>
<h3>Can participants earn prizes?</h3>
<div>
<p>Yes. Our prize programs are optional but encouraged. Motivating your sellers with prizes can improve sales. It’s important to discuss your prizes at your kickoff meeting. Then, continue to promote them throughout your sale. This will keep your group inspired to sell.</p>
<p>If your group has 100 or more participants, a prize flyer is placed in each seller’s packet. For smaller groups, the sponsor receives a PDF with their ‘fundraiser supply kit’ email.</p>
<p>There is no cost to the group for our prizes.</p>
<p><a title=""Opens in new window"" href=""/fundraiser-prize-programs"" target=""_blank"">Learn about our prize programs</a></p></div>
<h3>How soon can we start?</h3>
<div>
<p>After you submit our <a title=""Opens in new window"" href=""/contact/start-fundraiser"" target=""_blank"">start a fundraiser</a> form you’ll receive an agreement to sign. It will then take at least 7-10 business days to process your order and pack and ship out your supplies.</p>
<p><a title=""Opens in new window"" href=""/resources/school-fundraising-supply-timeline"" target=""_blank"">Learn about our timeline</a></p></div>
<h3>How long is the fundraiser?</h3>
<div>
<p>Your sale lasts for 2 weeks. You can always change your end date. Simply let us know before your sale is over.</p></div>
</div>",
3166,1,1643481480,"<h3>Online Store</h3>
<div class=""accordion1"">
<h3>Can we also raise money online?</h3>
<div>
<p>Yes, selling online is an important part of your <i>Inspired Innovations</i> fundraiser. Prior to your kickoff date you’ll receive instructions so your participants can register. Once registered they’ll be able to invite friends and family to shop at your store.</p>
<p>Raising money online adds a 2<sup>nd</sup> way for your group to raise money.</p>
<p>Your online store will include additional items not found in the brochure.</p></div>
<h3>Do participants need to register?</h3>
<div>
<p>Registration is the best way to promote your <i>Inspired Innovations</i> fundraiser online. It's also a very effective way to get your participants engaged in your cause. Once registered, participants invite people to your store by sharing their unique link. They can do this using text, social media, and/ or email.</p>
<p>Once potential buyers are at the store, your group’s name appears at the top of the page. This helps make it recognizable to friends and family. For example, “Welcome to ABC High School Band.”</p>
<p>Registered sellers will also be eligible to earn credit towards prizes. We encourage groups to supplement our prize program with their own rewards. Here are some <a title=""Opens in new window"" href=""/resources/additional-fundraising-incentive-ideas"" target=""_blank"">incentive ideas</a>.</p></div>
<h3>Do we get our own link?</h3>
<div>
<p>There are 2 ways to promote your store:
</p><ol>
<li><strong>Registration:</strong> By default, your group will receive its own school ID number. Participants will need it to register and share your store with others using social media, text, and/ or email.</li>
<li><strong>Quick Registration:</strong> Or, as an option we will send you a link that you can provide to your participants to forward to their family and friends. Supporters would only need to enter your school ID # and then your group name or a student that they want to support. Your sellers would not need to register.</li>
</ol>
<p>By using quick registration, you would only be able to track online sales as a group, not by individual seller. Sellers would not receive prize credit for any sales made online.</p>
<p><strong>Online Ship to Group Orders</strong></p>
<p>Another limitation with a single store link is getting items to online customers who choose the ‘ship to group’ option. Normally when participants register and send out their own unique links and customers make a purchase, orders are automatically tied to a particular seller.</p>
<p>Any items then ship to the group already packed inside the seller’s box with their other brochure items. Participants then deliver these items to their customers.</p>
<p>But with the single link option, you will need to let any ‘ship to group’ buyers know to pick up their order because it won’t be associated with any seller.</p></div>
<h3>Can we accept donations?</h3>
<div>
<p>Yes, people can donate in $25 increments. Your group receives 70% profit off all donations.</p>
<p>Or if you don't want a donation option on your store you can have this feature turned off. Simply let us know in the comments section when submitting your <a title=""Opens in new window"" href=""/contact/start-fundraiser"" target=""_blank"">start a fundraiser</a> form.</p>
<p>Donations do not count towards items sold and are not available if using a prize program.</p></div>
<h3>Can buyers credit more than 1 participant?</h3>
<div>
<p>No. Participants need to register individually. Each participant has their own login and sharing options.</p></div>
</div>",
3166,1,1643481480,"<h3>Making Sales</h3>
<div class=""accordion1"">
<h3>Is there a minimum order?</h3>
<div>
<p>There are no order requirements for a <i>Inspired Innovations</i> fundraiser.</p></div>
<h3>How much money can we make?</h3>
<div>
<p>You’ll need to know your group size as well your participant goal. Here’s how you can estimate your profit:</p>
<h2>Calculation Steps</h2>
<ol>
<li>Participant Count x Participant Item Goal = Items Sold</li>
<li>Items Sold x Average Retail Price = Gross Sales</li>
<li>Gross Sales x Profit % = Group Profit</li>
</ol>
<h2>Example</h2>
<ol>
<li>Let’s say you have 60 participants and you set your participant item goal at 10. The items sold would be 60 participants x 10 Items / participant = 600.</li>
<li>Next, determine your gross sales. The average retail price is about $22 so your gross sales would be 600 Items x $22 = $13,200.</li>
<li>Since your profit is 40%, your group profit would be $13,200 x 40% = <strong>$5,280</strong>.</li>
</ol>
<p>Keep in mind, our example is only an estimated profit. In reality, participants probably won’t sell the same number of items. In addition, the average retail dollars sold per seller will vary.</p></div>
<h3>Can we track our sales?</h3>
<div>
<p><strong>Brochure:</strong> You most likely won’t know how many orders you get until you collect your order forms. Yet there are strategies that can give you a ballpark idea. Learn how to <a title=""Opens in new window"" href=""/resources/how-track-your-fundraising-progress"" target=""_blank"">track your fundraising progress</a></p>
<p><strong>Online:</strong> You'll be able to track online sales in real-time. By logging into your dashboard you'll see:
</p><ul>
<li>The number of participants who have registered</li>
<li>How many unique visitors each participant has had</li>
<li>Individual participant and group sales progress</li>
</ul>
</div>
<h3>How do we receive our money?</h3>
<div>
<p><strong>Brochure Sales:</strong> Money and order forms are turned in at the end of the sale. The money gets deposited in the group’s account and the order forms are sent in for processing.</p>
<p>Once orders are processed, the group receives their sales reports and invoice. The group sends a check for the invoice amount and keeps the rest as profit.</p>
<p><strong>Online Sales:</strong> Once we receive your brochure invoice payment, we’ll send your online sales profit check.</p>
<p><strong>Donations:</strong> Any profits from donations are included with the online sales check.</p></div>
<h3>What is our profit?</h3>
<div>
<p>Groups make 40% off all <i>Inspired Innovations</i> items.</p>
<p>You receive 70% of online donations.</p>
<p><i>(Use the ‘Calculate Your Profit’ calculator at the top of the page to determine your profit)</i></p></div>
<h3>What about sales tax?</h3>
<div>
<p>Certain states require that we collect and remit sales tax on your behalf to your state’s department of revenue. We will need to charge sales tax if your state has determined that we have established <a title=""opens in new window"" href=""https://www.avalara.com/us/en/learn/nexus.html"" target=""_blank"" rel=""noopener"">nexus</a> and you are not tax exempt. See our <a title=""opens in new window"" href=""/resources/ultimate-school-brochure-fundraising-tax-guide"" target=""_blank"" rel=""noopener"">brochure fundraising tax guide</a> for more information.</p></div>
</div>",
3166,1,1643481480,"<h3>Shipping</h3>
<div class=""accordion1"">
<h3>How soon do we receive our order?</h3>
<div>
<p>We deliver brochure orders to your group 3-4 weeks after receiving your order forms. Online orders generally ship to customers within 1-2 weeks after purchase.</p>
</div>
<h3>Where do orders ship to?</h3>
<div>
<p>Product ships out of our California warehouse to all lower 48 states.</p>
</div>
<h3>How is our order packed?</h3>
<div>
<p>Orders deliver prepacked by seller.</p>
</div>
<h3>Is there a shipping fee?</h3>
<div>
<h5>Brochure Sales:</h5>

<p>Shipping is free if certain order minimums are met:
</p><p><strong>Groups up to 100 participants</strong></p>
<p>If you sell 150 or more items there is no shipping charge. A $100 shipping and handling fee will be charged for orders with fewer than 150 items sold.</p>
<p><strong>Groups with over 100 participants</strong>
</p><p>Shipping is free as long as your group averages $20 or more in retail sales per member. (Since the average price of an item listed in a typical brochure is about $14, that is less than 2 items sold per seller)<br />
</p><table border=""0"">
<thead>
<tr align=""left"">
<td>Ave. Retail Sales / Enrolled</td>
<td>Shipping Fee</td>
</tr>
</thead>
<tbody>
<tr>
<td>$0-$9.99</td>
<td>$1 / Enrolled</td>
</tr>
<tr>
<td>$10-$14.99</td>
<td>75¢ / Enrolled</td>
</tr>
<tr>
<td>$15-$19.99</td>
<td>50¢ / Enrolled</td>
</tr>
<tr>
<td>$20+</td>
<td>No Charge</td>
</tr>
</tbody>
</table>

<p>A quick way to determine your average retail sales per enrolled is to divide your total sales by your group enrollment. Consider the following 2 examples.</p>
<p>If your group raises:
</p><ol>
<li>$2,500 with 150 members, your average retail sales per enrolled would be $16.67. In this case you would be charged 50¢ x 150 = $75 (See chart above).</li>
<li>$3,500 with 150 members, your average retail sales per enrolled would be $23.33. In this case you would not be charged a shipping fee because you reached $20 per enrolled group member.</li>
</ol>
<blockquote><p>Both brochure and online sales count towards the free shipping minimum requirement</p></blockquote>
<p>
</p><h5>Online Sales:</h5>

<p>Customers pay a shipping fee at checkout to have their order shipped direct to them. Shipping is free on orders over $75.</p>
<p>Buyers also have the option to ship their order to the group. In this case there is no shipping fee but buyers pay a 5% processing fee to have their order shipped to your group.</p>
</div>
<h3>Do you ship orders to sellers?</h3>
<div>
<p>There is no ship to seller option for a <i>Inspired Innovations</i> brochure fundraiser.</p></div>
<h3>How are product issued handled?</h3>
<div>
<p>If you have any items that need replacing, you’ll need to submit a form that we’ll attach to your delivery notice email. Sellers will have 7 days to report any missing or damaged items. Groups are allowed 1 submission per fundraiser.</p></div>
</div>",
3162,1,1643484983,"<h2>Questions about Gifts & More Online?</h2>
<h3>How it Works</h3>
<div class=""accordion1"">
<h3>How do we raise money?</h3>
<div>
<p>Groups raise money when supporters buy items from their online store. Once participants register, they can invite family and friends to shop. Invitations go out via social media, text, and/ or email and groups receive a profit off every sale.</p>
<p>Your online store will include additional items not found in the brochure.</p></div>
<h3>Do participants need to register?</h3>
<div>
<p>Registration is the best way to promote a <i>Gifts & More Online</i> fundraiser. It's also a very effective way to get your participants engaged in your cause.</p>
<p>Prior to completing the registration process, participants will be required to enter their email address. This is needed so we can send them their personalized online store link. All email addresses are kept confidential and are only used for fundraising purposes.</p>
<p>Once participants are registered, they’ll be able to share their unique link using text, social media, and/ or email.</p>
<p>As people click on a link, the participant’s name appears at the top of the page. This will help make it recognizable to visitors. For example, “Purchases from this page will be credited to John Doe in support of ABC High School Band.”</p>
<p>Getting participants to register is vital if you want to reach your goal. Once you know how much money your group needs, you can set your individual seller goal.</p>
<p><i>(Use the ‘Calculate Your Profit’ calculator at the top of the page to determine your profit)</i></p>
<p>Be sure to <a title=""opens in new window"" href=""/tracking-school-fundraisers"" target=""_blank"">track your fundraiser progress</a> and remind your group to invite people to shop. Participants can also track their own sales when logged into their portal.</p>
<p>Registered sellers will also be eligible to earn credit towards prizes. We encourage groups to supplement the prize program we offer with additional incentives.</p></div>
<h3>Do we get our own link?</h3>
<div>
<p>There are 2 ways to promote your store:
</p><ol>
<li><strong>Registration:</strong> By default, you’ll receive your program ID number. Participants will need it to register, obtain their unique link, and then share it with others using social media, text, and/ or email.</li>
<li><strong>Direct Link:</strong> Or, you as the sponsor can first register and obtain your unique link. Then share that link with your entire group. Participants would be able to share your link with their friends and family.</li>
</ol>
<p>By promoting your direct link, you would only be able to track sales as a group, not by individual sellers. Your group would also not be able to use our prize programs.</p>
<p><strong>Online Ship to Group Orders</strong></p>
<p>Another limitation to sellers not registering is getting items to online customers who choose the ‘ship to group’ option. Normally when participants register and send out their own unique links and customers make a purchase, orders are automatically tied to a particular seller.</p>
<p>Any items then ship to the group already packed inside the seller’s box with their other brochure items. Participants then deliver these items to their customers.</p>
<p>But with the single link option, you will need to let any ‘ship to group’ buyers know to pick up their order because it won’t be associated with any seller.</p></div>
<h3>Is money collected with each order?</h3>
<div>
<p>There is no face to face selling or money collection. Participants receive credit for sales when the people they invite buy items from your store.</p></div>
<h3>Can participants track their own sales?</h3>
<div>
<p>Yes, participants will be able to log into their portal anytime and see their sales updates.</p></div>
<h3>Are there any fees?</h3>
<div>
<p>There are no setup fees or costs to run a <i>Gifts & More Online</i> fundraiser.</p></div>
<h3>Can participants earn prizes?</h3>
<div>
<p>Motivating your participants by using incentives can improve sales. We offer 2 prize program options:
</p><ol>
<li><a title=""Opens in new window"" href=""/sites/default/files/online-cash-prize-program.pdf"" target=""_blank"">Cash</a></li>
<li><a title=""Opens in new window"" href=""/sites/default/files/kids-zone-prize-program.pdf"" target=""_blank"">Traditional</a></li>
</ol>
<p>We email your prize flyer to you before your kickoff. Be sure to forward it to your participants and discuss. It’s important that you continue to promote your prizes throughout your sale. This will keep your group motivated.</p>
<p>After your sale is over, we add the total cash amount to your profit check. Or, if you choose a traditional prize plan, we ship your prizes to your group address.</p>
<p>You’ll receive a sales report showing your participants names and how much they sold. Prizes are shipped with a reference list that matches prizes with participants.</p>
<p>There is no cost to the group for our prize programs.</p></div>
<h3>Do participants get a brochure to show?</h3>
<div>
<p>Because this is an online fundraiser there are no brochures. Before your sale, we email you the steps to get started to pass onto your sellers.</p></div>
<h3>How soon can we start?</h3>
<div>
<p>After you submit our <a title=""Opens in new window"" href=""/contact/start-online-fundraiser"" target=""_blank"">start a fundraiser</a> form you’ll receive an agreement to sign. It will then take at least 3-5 business days to process your order and set up your store.
</p><p>Once we send you your participant registration instruction steps, your store is live. We recommend that you have an official kickoff meeting so everyone starts at the same time.</p>
<p>If you can't meet in person, consider using an online communication technology. Examples include Zoom, Cisco Webex, GoToMeeting and Google Hangouts.</p></div>
<h3>How long is the fundraiser?</h3>
<div>
<p>By default, we set your end date 2 weeks after your start date. You can always change your end date. Simply let us know before your sale ends.</p>
<p>Or let us know up front when you would like your store to close.</p></div>
<h3>Do you only work with schools?</h3>
<div>
<p>No, we work with non-school groups as well. Examples include church groups, sports leagues, and dance organizations.</p>
</div>
<h3>Can we use more than 1 store at a time?</h3>
<div>
<p>No. You must choose 1 store. For example, ‘Goodies & Gifts’ cannot be run at the same time as ‘Popcornopolis Online’. You can always run a second online fundraiser after the first one is over.</p>
</div>
<h3>Do you only work with groups?</h3>
<div>
<p>Yes. Your group must have at least 5 participants.</p></div>
</div>",
3162,1,1643484983,"<h3>Making Sales</h3>
<div class=""accordion1"">
<h3>Is there a minimum order?</h3>
<div>
<p>There are no minimum order requirements.</p></div>
<h3>Can we track our sales?</h3>
<div>
<p>Before your <i>Gifts & More Online</i> sale, you'll receive access to your online store dashboard. You’ll be able to see who's sent emails and view sales updates.</p></div>
<h3>How do we receive our money?</h3>
<div>
<p>Your profit check is processed within 15 business days of the close of your store.</p>
</div>
<h3>What is our profit?</h3>
<div>
<p>Your profit percentage is based on how many items your group sells:</p>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Items Sold</td>
<td>Profit</td>
</tr>
</thead>
<tbody>
<tr>
<td>1-9</td>
<td>25%</td>
</tr>
<tr>
<td>10-29</td>
<td>30%</td>
</tr>
<tr>
<td>30-49</td>
<td>35%</td>
</tr>
<tr>
<td>50+</td>
<td>40%</td>
</tr>
</tbody>
</table>

<p>(For a quick estimate, multiply the number of participants in your group by 5)</p>
</div>
<h3>Can we accept donations?</h3>
<div>
<p>Yes, your <i>Gifts & More Online</i> store will be set up to accept donations. You make 70% of the donated amount.</p>
<p>Donations do not count towards items sold or prize credit.</p></div>
<h3>Can buyers credit more than 1 participant?</h3>
<div>
<p>No. Participants need to register individually. Each participant has their own login and sharing options.</p></div>
<h3>What about sales tax?</h3>
<div>
<p>There is no sales tax charged for online sales except for Texas residents.</p></div>
</div>",
