"Nid","Accordion Section"
"3525","<h2>Questions about Cake Batter Popcorn?</h2>
<h3>How it Works</h3>
<div class=""accordion1"">
<h3>How do we raise money?</h3>
<div>
<p>Your group profits when your participants sell <i>Cake Batter</i> popcorn to their friends and family.</p></div>
<h3>How do we pay?</h3>
<div>
<p>Since product is ordered up front, you have the following payment options:
</p><ul>
<li><strong>Purchase order</strong>: If you’re a public school, you can order <i>Cake Batter</i> popcorn without having to pay up front.  A purchase order is a legally binding document between us and your group. Payment is due within 15 days of receipt of product. This gives you time to collect enough money to pay your bill. You then keep the rest as profit. <a title=""Opens in new window"" href=""/contact/purchase-order-form"" target=""_blank"">Go to purchase order form</a></li>
<li><strong>Credit card</strong>: Use our secure checkout process to pay for your product up front. We accept VISA, MasterCard, American Express, or Discover. Select our 'Add to cart' button at the top of the page to get started.</li>
<li><strong>Check</strong>: Mail in your payment. Your product will ship once your check clears. We accept a personal check, money order, or cashier’s check. Submit our <a title=""Opens in new window"" href=""/contact/payment-form"" target=""_blank"">payment form</a> and we’ll email you an invoice along with our mailing address.</li>
</ul>
<p>Order <i>Cake Batter</i> popcorn at a discounted price and then sell it at full retail. The difference is your profit.</p></div>
<h3>Do you offer pricing discounts?</h3>
<div>
<p>Yes we offer volume discounts. For more information see our 'Case Pricing' table at the top of the page.</p></div>
<h3>How soon can we start?</h3>
<div>
<p><i>Cake Batter</i> popcorn delivers within 7-10 business days.</p></div>
<h3>How long is the fundraiser?</h3>
<div>
<p>We recommend giving your sellers 1 week to sell their popcorn allocation and turn in the money.</p>
<p><strong>TIP</strong>: To ensure timely and accurate money turn-in, use a <a title=""Opens in new window"" href=""/resources/fundraiser-sales-tracking-sheet"" target=""_blank"">tracking sheet</a>.</p></div>
<h3>How much should I order?</h3>
<div>
<p>The size of your order depends on the number of participants in your group and how many items you want them to sell. Since <i>Cake Batter</i> popcorn comes 12 bags to the case, consider issuing 1 case to each seller.</p>
<p>You can also use our ‘Profit Calculator’ at the top of the page.</p></div>
<h3>Do you take back unsold product?</h3>
<div>
<p>We do not accept returns. Our goal is to maintain the same high level of product freshness for every customer. The USDA also has very strict guidelines that we must adhere to.</p>
<p><strong>TIP</strong>: Consider issuing unsold popcorn bags to participants who volunteer to sell them in exchange for a portion of the profit.</p></div>
<h3>Can participants earn prizes?</h3>
<div>
<p>We don’t offer any prize programs with our <i>Cake Batter</i> popcorn fundraiser.</p></div>
</div>"
"3525","<h3>Product Information</h3>
<div class=""accordion1"">
<h3>What do your popcorn bags sell for?</h3>
<div>
<p>We suggest selling <i>Cake Batter</i> popcorn for $12 a bag.</p></div>
<h3>How many bags are in a case?</h3>
<div>
<p>12</p></div>
<h3>What size is each bag?</h3>
<div>
<p>5.5 oz each</p></div>
<h3>How long does your popcorn stay fresh?</h3>
<div>
<p>6 months from the date of production. To maintain freshness, popcorn should be stored in a cool dry place.</p></div>
<h3>Why do bag weights differ by flavor?</h3>
<div>
<p>The volume and number of kernels in every bag is relatively equal. The difference is in the weight of the coatings used for each popcorn flavor.</p>
<p>For example, cheese or savory flavors weigh less than sweet coating on popcorn.</p></div>
<h3>Can flavors be mixed in a case?</h3>
<div>
<p>No. All flavors are preselected and cases cannot be broken up.</p></div>
<h3>Is popcorn gluten free?</h3>
<div>
<p>We hand pop our non-GMO kernels in coconut oil. Our popcorn is certified gluten free, and contains no artificial colors, flavorings, or preservatives. Made with real blue cheese and other natural flavors.</p></div>
</div>"
"3525","<h3>Making Sales</h3>
<div class=""accordion1"">
<h3>Is there a minimum order?</h3>
<div>
<p>There is a 5 case minimum order requirement.</p></div>
<h3>How much money can we make?</h3>
<div>
<p>Estimating your profit is easy. Consider the following example.</p>
<p>A sponsor with 25 participants wants everyone to sell 1 case each (12 bags):<br />
</p><blockquote>25 participants x 1 case / participant = 25 cases
<p>25 cases x 12 bags / case = 300 bags</p>
<p>300 bags x $12 / bag = $3,600.00 gross sales</p>
<p>$3,600.00 x 40% profit = <strong>$1,440.00 profit</strong></p></blockquote>
<p>The profit would be 40% because you would need to order 25 cases (Volume discounts apply).</p>
<p><strong>QUICK TIP:</strong> Enter your group size and participant goal into our ‘Profit Calculator’ located in the top right sidebar.</p></div>
</div>"
"3525","<h3>Shipping</h3>
<div class=""accordion1"">
<h3>How soon do we receive our order?</h3>
<div>
<p>Orders deliver within 7-10 business days. Time to ship is dependent on your location from our warehouse.</p></div>
<h3>Where do orders ship to?</h3>
<div>
<p><i>Cake Batter</i> popcorn ships out of our Minnesota warehouse to all lower 48 states.</p></div>
<h3>How is our order packed?</h3>
<div>
<p>Orders ship by the case.</p></div>
<h3>Is there a shipping fee?</h3>
<div>
<p>All orders ship for free. You also receive free shipping on any reorders.</p></div>
</div>"
"3524","<h2>Questions about Peanut Butter Cup Popcorn?</h2>
<h3>How it Works</h3>
<div class=""accordion1"">
<h3>How do we raise money?</h3>
<div>
<p>Your group profits when your participants sell <i>Peanut Butter Cup</i> popcorn to their friends and family.</p></div>
<h3>How do we pay?</h3>
<div>
<p>Since product is ordered up front, you have the following payment options:
</p><ul>
<li><strong>Purchase order</strong>: If you’re a public school, you can order <i>Peanut Butter Cup</i> popcorn without having to pay up front.  A purchase order is a legally binding document between us and your group. Payment is due within 15 days of receipt of product. This gives you time to collect enough money to pay your bill. You then keep the rest as profit. <a title=""Opens in new window"" href=""/contact/purchase-order-form"" target=""_blank"">Go to purchase order form</a></li>
<li><strong>Credit card</strong>: Use our secure checkout process to pay for your product up front. We accept VISA, MasterCard, American Express, or Discover. Select our 'Add to cart' button at the top of the page to get started.</li>
<li><strong>Check</strong>: Mail in your payment. Your product will ship once your check clears. We accept a personal check, money order, or cashier’s check. Submit our <a title=""Opens in new window"" href=""/contact/payment-form"" target=""_blank"">payment form</a> and we’ll email you an invoice along with our mailing address.</li>
</ul>
<p>Order <i>Peanut Butter Cup</i> popcorn at a discounted price and then sell it at full retail. The difference is your profit.</p></div>
<h3>Do you offer pricing discounts?</h3>
<div>
<p>Yes we offer volume discounts. For more information see our 'Case Pricing' table at the top of the page.</p></div>
<h3>How soon can we start?</h3>
<div>
<p><i>Peanut Butter Cup</i> popcorn delivers within 7-10 business days.</p></div>
<h3>How long is the fundraiser?</h3>
<div>
<p>We recommend giving your sellers 1 week to sell their popcorn allocation and turn in the money.</p>
<p><strong>TIP</strong>: To ensure timely and accurate money turn-in, use a <a title=""Opens in new window"" href=""/resources/fundraiser-sales-tracking-sheet"" target=""_blank"">tracking sheet</a>.</p></div>
<h3>How much should I order?</h3>
<div>
<p>The size of your order depends on the number of participants in your group and how many items you want them to sell. Since <i>Peanut Butter Cup</i> popcorn comes 12 bags to the case, consider issuing 1 case to each seller.</p>
<p>You can also use our ‘Profit Calculator’ at the top of the page.</p></div>
<h3>Do you take back unsold product?</h3>
<div>
<p>We do not accept returns. Our goal is to maintain the same high level of product freshness for every customer. The USDA also has very strict guidelines that we must adhere to.</p>
<p><strong>TIP</strong>: Consider issuing unsold popcorn bags to participants who volunteer to sell them in exchange for a portion of the profit.</p></div>
<h3>Can participants earn prizes?</h3>
<div>
<p>We don’t offer any prize programs with our <i>Peanut Butter Cup</i> popcorn fundraiser.</p></div>
</div>"
"3524","<h3>Product Information</h3>
<div class=""accordion1"">
<h3>What do your popcorn bags sell for?</h3>
<div>
<p>We suggest selling <i>Peanut Butter Cup</i> popcorn for $12 a bag.</p></div>
<h3>How many bags are in a case?</h3>
<div>
<p>12</p></div>
<h3>What size is each bag?</h3>
<div>
<p>5.5 oz each</p></div>
<h3>How long does your popcorn stay fresh?</h3>
<div>
<p>6 months from the date of production. To maintain freshness, popcorn should be stored in a cool dry place.</p></div>
<h3>Why do bag weights differ by flavor?</h3>
<div>
<p>The volume and number of kernels in every bag is relatively equal. The difference is in the weight of the coatings used for each popcorn flavor.</p>
<p>For example, cheese or savory flavors weigh less than sweet coating on popcorn.</p></div>
<h3>Can flavors be mixed in a case?</h3>
<div>
<p>No. All flavors are preselected and cases cannot be broken up.</p></div>
<h3>Is popcorn gluten free?</h3>
<div>
<p>We hand pop our non-GMO kernels in coconut oil. Our popcorn is certified gluten free, and contains no artificial colors, flavorings, or preservatives. Made with real blue cheese and other natural flavors.</p></div>
</div>"
"3524","<h3>Making Sales</h3>
<div class=""accordion1"">
<h3>Is there a minimum order?</h3>
<div>
<p>There is a 5 case minimum order requirement.</p></div>
<h3>How much money can we make?</h3>
<div>
<p>Estimating your profit is easy. Consider the following example.</p>
<p>A sponsor with 25 participants wants everyone to sell 1 case each (12 bags):<br />
</p><blockquote>25 participants x 1 case / participant = 25 cases
<p>25 cases x 12 bags / case = 300 bags</p>
<p>300 bags x $12 / bag = $3,600.00 gross sales</p>
<p>$3,600.00 x 40% profit = <strong>$1,440.00 profit</strong></p></blockquote>
<p>The profit would be 40% because you would need to order 25 cases (Volume discounts apply).</p>
<p><strong>QUICK TIP:</strong> Enter your group size and participant goal into our ‘Profit Calculator’ located in the top right sidebar.</p></div>
</div>"
"3524","<h3>Shipping</h3>
<div class=""accordion1"">
<h3>How soon do we receive our order?</h3>
<div>
<p>Orders deliver within 7-10 business days. Time to ship is dependent on your location from our warehouse.</p></div>
<h3>Where do orders ship to?</h3>
<div>
<p><i>Peanut Butter Cup</i> popcorn ships out of our Minnesota warehouse to all lower 48 states.</p></div>
<h3>How is our order packed?</h3>
<div>
<p>Orders ship by the case.</p></div>
<h3>Is there a shipping fee?</h3>
<div>
<p>All orders ship for free. You also receive free shipping on any reorders.</p></div>
</div>"
"3523","<h2>Questions about Jalapeño Blue Cheese Popcorn?</h2>
<h3>How it Works</h3>
<div class=""accordion1"">
<h3>How do we raise money?</h3>
<div>
<p>Your group profits when your participants sell <i>Jalapeño Blue Cheese</i> popcorn to their friends and family.</p></div>
<h3>How do we pay?</h3>
<div>
<p>Since product is ordered up front, you have the following payment options:
</p><ul>
<li><strong>Purchase order</strong>: If you’re a public school, you can order <i>Jalapeño Blue Cheese</i> popcorn without having to pay up front.  A purchase order is a legally binding document between us and your group. Payment is due within 15 days of receipt of product. This gives you time to collect enough money to pay your bill. You then keep the rest as profit. <a title=""Opens in new window"" href=""/contact/purchase-order-form"" target=""_blank"">Go to purchase order form</a></li>
<li><strong>Credit card</strong>: Use our secure checkout process to pay for your product up front. We accept VISA, MasterCard, American Express, or Discover. Select our 'Add to cart' button at the top of the page to get started.</li>
<li><strong>Check</strong>: Mail in your payment. Your product will ship once your check clears. We accept a personal check, money order, or cashier’s check. Submit our <a title=""Opens in new window"" href=""/contact/payment-form"" target=""_blank"">payment form</a> and we’ll email you an invoice along with our mailing address.</li>
</ul>
<p>Order <i>Jalapeño Blue Cheese</i> popcorn at a discounted price and then sell it at full retail. The difference is your profit.</p></div>
<h3>Do you offer pricing discounts?</h3>
<div>
<p>Yes we offer volume discounts. For more information see our 'Case Pricing' table at the top of the page.</p></div>
<h3>How soon can we start?</h3>
<div>
<p><i>Jalapeño Blue Cheese</i> popcorn delivers within 7-10 business days.</p></div>
<h3>How long is the fundraiser?</h3>
<div>
<p>We recommend giving your sellers 1 week to sell their popcorn allocation and turn in the money.</p>
<p><strong>TIP</strong>: To ensure timely and accurate money turn-in, use a <a title=""Opens in new window"" href=""/resources/fundraiser-sales-tracking-sheet"" target=""_blank"">tracking sheet</a>.</p></div>
<h3>How much should I order?</h3>
<div>
<p>The size of your order depends on the number of participants in your group and how many items you want them to sell. Since <i>Jalapeño Blue Cheese</i> popcorn comes 12 bags to the case, consider issuing 1 case to each seller.</p>
<p>You can also use our ‘Profit Calculator’ at the top of the page.</p></div>
<h3>Do you take back unsold product?</h3>
<div>
<p>We do not accept returns. Our goal is to maintain the same high level of product freshness for every customer. The USDA also has very strict guidelines that we must adhere to.</p>
<p><strong>TIP</strong>: Consider issuing unsold popcorn bags to participants who volunteer to sell them in exchange for a portion of the profit.</p></div>
<h3>Can participants earn prizes?</h3>
<div>
<p>We don’t offer any prize programs with our <i>Jalapeño Blue Cheese</i> popcorn fundraiser.</p></div>
</div>"
"3523","<h3>Product Information</h3>
<div class=""accordion1"">
<h3>What do your popcorn bags sell for?</h3>
<div>
<p>We suggest selling <i>Jalapeño Blue Cheese</i> popcorn for $12 a bag.</p></div>
<h3>How many bags are in a case?</h3>
<div>
<p>12</p></div>
<h3>What size is each bag?</h3>
<div>
<p>6 oz each</p></div>
<h3>How long does your popcorn stay fresh?</h3>
<div>
<p>6 months from the date of production. To maintain freshness, popcorn should be stored in a cool dry place.</p></div>
<h3>Why do bag weights differ by flavor?</h3>
<div>
<p>The volume and number of kernels in every bag is relatively equal. The difference is in the weight of the coatings used for each popcorn flavor.</p>
<p>For example, cheese or savory flavors weigh less than sweet coating on popcorn.</p></div>
<h3>Can flavors be mixed in a case?</h3>
<div>
<p>No. All flavors are preselected and cases cannot be broken up.</p></div>
<h3>Is popcorn gluten free?</h3>
<div>
<p>We hand pop our non-GMO kernels in coconut oil. Our popcorn is certified gluten free, and contains no artificial colors, flavorings, or preservatives. Made with real blue cheese and other natural flavors.</p></div>
</div>"
